job_title,company,industry,location,required_skills,experience_level,salary_range,job_description,posting_date,demand_label,Certificates
Data Scientist,Company_393,Telecom,Bangalore,"JavaScript, React, HTML, CSS",Junior,4-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-18,Medium,Certified Data Scientist
Data Analyst,Company_108,E-commerce,Remote,"Linux, Networking, Security",Fresher,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-08,Medium,Google Data Analytics Certificate
Product Manager,Company_211,Education,Kolkata,"Power BI, Excel, SQL",Junior,5-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-10,High,None
Frontend Developer,Company_422,Finance,Hyderabad,"Python, Deep Learning, NLP",Mid,7-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-14,Medium,None
Backend Developer,Company_219,Finance,Pune,"JavaScript, React, HTML, CSS",Junior,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-25,Low,None
Product Manager,Company_28,Healthcare,Hyderabad,"Linux, Networking, Security",Mid,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-01,High,None
Backend Developer,Company_500,Telecom,Hyderabad,"Linux, Networking, Security",Senior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-07,Low,None
Cyber Security Analyst,Company_156,IT,Chennai,"Python, SQL, Machine Learning",Mid,7-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-16,Medium,Cybersecurity Essentials
Cloud Engineer,Company_57,IT,Chennai,"Java, Spring, Microservices",Mid,7-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-01,High,AWS Certified Solutions Architect
Frontend Developer,Company_311,Healthcare,Pune,"Power BI, Excel, SQL",Junior,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-12,Low,None
Data Scientist,Company_472,IT,Mumbai,"Linux, Networking, Security",Mid,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-12,Medium,Certified Data Scientist
Cloud Engineer,Company_164,Education,Hyderabad,"Power BI, Excel, SQL",Senior,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-24,Medium,AWS Certified Solutions Architect
Cyber Security Analyst,Company_484,Education,Bangalore,"JavaScript, React, HTML, CSS",Senior,3-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-27,Medium,Cybersecurity Essentials
AI Engineer,Company_150,E-commerce,Remote,"Python, Deep Learning, NLP",Fresher,10-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-28,Medium,None
Software Developer,Company_299,Education,Mumbai,"Python, Deep Learning, NLP",Junior,3-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-08,Low,None
Data Scientist,Company_165,Telecom,Bangalore,"Java, Spring, Microservices",Mid,3-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-22,Medium,Certified Data Scientist
Backend Developer,Company_204,Finance,Mumbai,"AWS, Docker, Kubernetes",Mid,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-10,Low,None
Data Analyst,Company_208,Education,Pune,"Python, SQL, Machine Learning",Fresher,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-02,Medium,Google Data Analytics Certificate
Backend Developer,Company_233,Automobile,Chennai,"Power BI, Excel, SQL",Fresher,5-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-19,Medium,None
Backend Developer,Company_89,E-commerce,Hyderabad,"Power BI, Excel, SQL",Senior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-10,Low,None
Frontend Developer,Company_253,IT,Mumbai,"Power BI, Excel, SQL",Fresher,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-15,Low,None
Data Scientist,Company_193,Manufacturing,Mumbai,"Python, Deep Learning, NLP",Fresher,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-08,Low,Certified Data Scientist
DevOps Engineer,Company_72,Automobile,Bangalore,"Power BI, Excel, SQL",Junior,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,High,None
AI Engineer,Company_309,Education,Hyderabad,"Linux, Networking, Security",Mid,9-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-31,Medium,None
Frontend Developer,Company_354,Manufacturing,Chennai,"Java, Spring, Microservices",Fresher,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-30,Low,None
Business Analyst,Company_323,Telecom,Mumbai,"Python, Deep Learning, NLP",Mid,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-20,High,None
ML Engineer,Company_199,Automobile,Delhi,"AWS, Docker, Kubernetes",Junior,3-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-15,High,None
Business Analyst,Company_433,Education,Delhi,"JavaScript, React, HTML, CSS",Senior,7-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-28,High,None
Data Scientist,Company_139,Finance,Bangalore,"Power BI, Excel, SQL",Senior,7-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,Low,Certified Data Scientist
Data Scientist,Company_485,Manufacturing,Delhi,"Python, Deep Learning, NLP",Senior,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-05,Medium,Certified Data Scientist
Software Developer,Company_82,Finance,Mumbai,"AWS, Docker, Kubernetes",Fresher,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-13,Medium,None
AI Engineer,Company_127,E-commerce,Remote,"Linux, Networking, Security",Mid,10-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-31,Low,None
ML Engineer,Company_273,Automobile,Pune,"Python, SQL, Machine Learning",Fresher,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-18,Low,None
Product Manager,Company_452,Education,Pune,"Power BI, Excel, SQL",Mid,7-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-17,High,None
Business Analyst,Company_148,E-commerce,Pune,"Python, SQL, Machine Learning",Mid,10-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-25,High,None
DevOps Engineer,Company_122,Finance,Bangalore,"Java, Spring, Microservices",Senior,6-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-14,Medium,None
Data Scientist,Company_151,Education,Delhi,"Python, Deep Learning, NLP",Mid,10-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-05,Low,Certified Data Scientist
Software Developer,Company_224,Manufacturing,Chennai,"Java, Spring, Microservices",Fresher,6-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-21,Medium,None
Product Manager,Company_412,Automobile,Pune,"Python, SQL, Machine Learning",Junior,6-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-04,Low,None
Data Analyst,Company_471,Finance,Kolkata,"Python, Data Analysis, Statistics",Mid,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-31,High,Google Data Analytics Certificate
Business Analyst,Company_181,Healthcare,Bangalore,"Python, Deep Learning, NLP",Senior,3-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-12,Low,None
Data Analyst,Company_478,Healthcare,Chennai,"Linux, Networking, Security",Junior,10-13 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,Medium,Google Data Analytics Certificate
Business Analyst,Company_123,Healthcare,Bangalore,"Python, Deep Learning, NLP",Mid,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-22,Low,None
Cyber Security Analyst,Company_95,E-commerce,Hyderabad,"Linux, Networking, Security",Senior,9-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-28,Low,Cybersecurity Essentials
AI Engineer,Company_464,Finance,Remote,"Power BI, Excel, SQL",Junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,High,None
Business Analyst,Company_10,Finance,Mumbai,"JavaScript, React, HTML, CSS",Mid,6-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-18,High,None
Data Scientist,Company_39,E-commerce,Chennai,"AWS, Docker, Kubernetes",Fresher,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-06,High,Certified Data Scientist
Cloud Engineer,Company_72,Manufacturing,Hyderabad,"AWS, Docker, Kubernetes",Fresher,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-06,Low,AWS Certified Solutions Architect
Software Developer,Company_460,Finance,Bangalore,"JavaScript, React, HTML, CSS",Senior,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-26,Low,None
DevOps Engineer,Company_355,Manufacturing,Delhi,"Python, SQL, Machine Learning",Senior,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-25,High,None
Software Developer,Company_382,Automobile,Kolkata,"AWS, Docker, Kubernetes",Junior,7-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-05,Medium,None
Backend Developer,Company_156,Manufacturing,Remote,"Python, Deep Learning, NLP",Mid,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-29,Low,None
Cloud Engineer,Company_482,Education,Bangalore,"Power BI, Excel, SQL",Fresher,5-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-03,Low,AWS Certified Solutions Architect
Backend Developer,Company_167,IT,Pune,"Python, SQL, Machine Learning",Mid,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-02,High,None
Software Developer,Company_171,E-commerce,Mumbai,"Python, Deep Learning, NLP",Fresher,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-18,Medium,None
Cloud Engineer,Company_219,Manufacturing,Pune,"Python, SQL, Machine Learning",Senior,4-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-28,High,AWS Certified Solutions Architect
Cloud Engineer,Company_161,Telecom,Kolkata,"Java, Spring, Microservices",Fresher,7-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-26,Low,AWS Certified Solutions Architect
Frontend Developer,Company_2,Telecom,Chennai,"Python, Deep Learning, NLP",Mid,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-06,Low,None
Cyber Security Analyst,Company_210,Finance,Hyderabad,"Python, Deep Learning, NLP",Fresher,5-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-17,Low,Cybersecurity Essentials
ML Engineer,Company_65,Finance,Hyderabad,"Java, Spring, Microservices",Fresher,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-24,Low,None
Backend Developer,Company_484,IT,Hyderabad,"Java, Spring, Microservices",Fresher,8-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-10,High,None
AI Engineer,Company_83,Healthcare,Kolkata,"Linux, Networking, Security",Mid,9-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-08,Low,None
Cloud Engineer,Company_30,Automobile,Delhi,"Python, SQL, Machine Learning",Fresher,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-24,Medium,AWS Certified Solutions Architect
Product Manager,Company_211,Manufacturing,Delhi,"AWS, Docker, Kubernetes",Fresher,5-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-01,Low,None
Data Analyst,Company_263,Automobile,Hyderabad,"Python, Data Analysis, Statistics",Mid,4-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-26,Low,Google Data Analytics Certificate
Backend Developer,Company_297,IT,Pune,"Python, SQL, Machine Learning",Senior,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-21,High,None
ML Engineer,Company_364,Healthcare,Hyderabad,"Python, SQL, Machine Learning",Fresher,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-08,High,None
Cyber Security Analyst,Company_388,Telecom,Pune,"AWS, Docker, Kubernetes",Junior,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-16,Low,Cybersecurity Essentials
Business Analyst,Company_5,IT,Bangalore,"Power BI, Excel, SQL",Fresher,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-31,Low,None
Software Developer,Company_357,Manufacturing,Bangalore,"AWS, Docker, Kubernetes",Junior,7-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-04,Medium,None
Frontend Developer,Company_9,Finance,Delhi,"Python, Deep Learning, NLP",Senior,8-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-27,High,None
Cyber Security Analyst,Company_104,E-commerce,Mumbai,"Power BI, Excel, SQL",Junior,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-10,Low,Cybersecurity Essentials
Cyber Security Analyst,Company_137,Healthcare,Kolkata,"Python, SQL, Machine Learning",Mid,5-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-17,Low,Cybersecurity Essentials
Data Scientist,Company_347,Finance,Chennai,"Python, SQL, Machine Learning",Fresher,7-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-29,High,Certified Data Scientist
Product Manager,Company_464,Manufacturing,Pune,"AWS, Docker, Kubernetes",Mid,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-15,High,None
Business Analyst,Company_139,Healthcare,Delhi,"Linux, Networking, Security",Fresher,5-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-17,High,None
Frontend Developer,Company_263,Manufacturing,Mumbai,"JavaScript, React, HTML, CSS",Senior,3-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-06,Low,None
Cyber Security Analyst,Company_30,Automobile,Chennai,"Power BI, Excel, SQL",Mid,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-12,Low,Cybersecurity Essentials
AI Engineer,Company_186,Automobile,Delhi,"Linux, Networking, Security",Fresher,6-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-10,Medium,None
Backend Developer,Company_495,Finance,Hyderabad,"Python, SQL, Machine Learning",Senior,7-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-06,High,None
Backend Developer,Company_464,Manufacturing,Remote,"Python, SQL, Machine Learning",Fresher,3-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-01,Medium,None
ML Engineer,Company_160,Finance,Bangalore,"Power BI, Excel, SQL",Mid,8-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-04,High,None
Cloud Engineer,Company_153,E-commerce,Kolkata,"AWS, Docker, Kubernetes",Senior,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-25,High,AWS Certified Solutions Architect
Business Analyst,Company_155,IT,Remote,"Python, Deep Learning, NLP",Junior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-10,Medium,None
ML Engineer,Company_320,Telecom,Hyderabad,"Python, SQL, Machine Learning",Junior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-02,High,None
Cloud Engineer,Company_343,E-commerce,Pune,"Python, SQL, Machine Learning",Fresher,8-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-06,Medium,AWS Certified Solutions Architect
AI Engineer,Company_161,Healthcare,Chennai,"JavaScript, React, HTML, CSS",Fresher,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-11,High,None
Business Analyst,Company_30,Automobile,Bangalore,"Power BI, Excel, SQL",Senior,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-26,Low,None
Data Scientist,Company_150,Healthcare,Kolkata,"Python, Deep Learning, NLP",Mid,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-13,High,Certified Data Scientist
Backend Developer,Company_278,IT,Delhi,"Python, Data Analysis, Statistics",Fresher,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-26,Low,None
Data Analyst,Company_130,E-commerce,Pune,"Python, SQL, Machine Learning",Mid,9-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-18,Medium,Google Data Analytics Certificate
AI Engineer,Company_403,E-commerce,Bangalore,"Python, Deep Learning, NLP",Fresher,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-25,High,None
Data Analyst,Company_262,Finance,Bangalore,"Python, Data Analysis, Statistics",Senior,4-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-23,Medium,Google Data Analytics Certificate
Cyber Security Analyst,Company_394,Automobile,Hyderabad,"Power BI, Excel, SQL",Fresher,9-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-02,Medium,Cybersecurity Essentials
AI Engineer,Company_307,IT,Bangalore,"AWS, Docker, Kubernetes",Senior,6-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-08,Low,None
Frontend Developer,Company_115,Education,Kolkata,"AWS, Docker, Kubernetes",Mid,7-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,None
Backend Developer,Company_104,IT,Kolkata,"Python, Data Analysis, Statistics",Fresher,4-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-01,High,None
Data Scientist,Company_260,IT,Kolkata,"Linux, Networking, Security",Junior,9-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-22,Medium,Certified Data Scientist
Business Analyst,Company_36,Education,Delhi,"Java, Spring, Microservices",Fresher,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-07,Low,None
Data Analyst,Company_429,E-commerce,Kolkata,"AWS, Docker, Kubernetes",Senior,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-12,Low,Google Data Analytics Certificate
Cyber Security Analyst,Company_345,E-commerce,Remote,"Linux, Networking, Security",Junior,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-27,High,Cybersecurity Essentials
AI Engineer,Company_288,IT,Kolkata,"Python, SQL, Machine Learning",Junior,4-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-28,Medium,None
AI Engineer,Company_198,Education,Hyderabad,"Python, SQL, Machine Learning",Fresher,4-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-08,Low,None
Cyber Security Analyst,Company_132,Automobile,Kolkata,"Linux, Networking, Security",Junior,7-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-10,Low,Cybersecurity Essentials
DevOps Engineer,Company_455,Manufacturing,Mumbai,"Python, Deep Learning, NLP",Fresher,5-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-16,High,None
DevOps Engineer,Company_165,Telecom,Remote,"Python, Data Analysis, Statistics",Mid,8-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-10,High,None
DevOps Engineer,Company_312,Education,Remote,"Python, SQL, Machine Learning",Mid,5-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-01,Medium,None
Data Scientist,Company_347,Finance,Chennai,"Python, Deep Learning, NLP",Junior,5-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-07,Low,Certified Data Scientist
Backend Developer,Company_412,IT,Hyderabad,"Power BI, Excel, SQL",Junior,3-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-16,Low,None
ML Engineer,Company_451,Automobile,Kolkata,"Python, Data Analysis, Statistics",Senior,6-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-21,High,None
Data Scientist,Company_208,Education,Kolkata,"Python, SQL, Machine Learning",Junior,10-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-24,Low,Certified Data Scientist
ML Engineer,Company_481,Manufacturing,Remote,"Python, Data Analysis, Statistics",Junior,10-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-22,Medium,None
Backend Developer,Company_468,Manufacturing,Delhi,"Python, Data Analysis, Statistics",Junior,9-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,Low,None
Data Analyst,Company_477,Healthcare,Remote,"Python, Deep Learning, NLP",Mid,8-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-01,Medium,Google Data Analytics Certificate
AI Engineer,Company_451,Telecom,Hyderabad,"Java, Spring, Microservices",Mid,9-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-22,Medium,None
AI Engineer,Company_4,IT,Chennai,"Java, Spring, Microservices",Fresher,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-10,Low,None
Frontend Developer,Company_23,Telecom,Hyderabad,"AWS, Docker, Kubernetes",Mid,10-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-20,High,None
Backend Developer,Company_370,IT,Kolkata,"Python, Deep Learning, NLP",Fresher,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-24,Low,None
Cloud Engineer,Company_243,Manufacturing,Remote,"AWS, Docker, Kubernetes",Senior,10-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-13,Medium,AWS Certified Solutions Architect
Cyber Security Analyst,Company_357,E-commerce,Mumbai,"AWS, Docker, Kubernetes",Junior,4-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-03,Low,Cybersecurity Essentials
Software Developer,Company_43,Automobile,Remote,"Python, Data Analysis, Statistics",Senior,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-24,High,None
Cyber Security Analyst,Company_182,Automobile,Kolkata,"Python, Data Analysis, Statistics",Senior,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-26,High,Cybersecurity Essentials
Cyber Security Analyst,Company_412,Healthcare,Chennai,"Python, Data Analysis, Statistics",Mid,4-12 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-23,Low,Cybersecurity Essentials
Data Analyst,Company_211,E-commerce,Mumbai,"JavaScript, React, HTML, CSS",Senior,8-14 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-23,High,Google Data Analytics Certificate
Backend Developer,Company_281,Manufacturing,Hyderabad,"JavaScript, React, HTML, CSS",Senior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-07,High,None
AI Engineer,Company_395,IT,Hyderabad,"JavaScript, React, HTML, CSS",Senior,6-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-17,High,None
Backend Developer,Company_495,E-commerce,Hyderabad,"Java, Spring, Microservices",Junior,3-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-16,High,None
AI Engineer,Company_277,IT,Remote,"AWS, Docker, Kubernetes",Mid,4-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-22,Medium,None
Software Developer,Company_154,Manufacturing,Chennai,"Python, Data Analysis, Statistics",Fresher,9-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-30,Low,None
ML Engineer,Company_366,Telecom,Remote,"Linux, Networking, Security",Junior,9-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-21,Medium,None
Software Developer,Company_469,E-commerce,Bangalore,"Python, Data Analysis, Statistics",Fresher,8-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-05,Low,None
Backend Developer,Company_90,E-commerce,Mumbai,"Python, Data Analysis, Statistics",Senior,3-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-27,High,None
Business Analyst,Company_352,Manufacturing,Remote,"Python, SQL, Machine Learning",Mid,4-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-11,Low,None
Business Analyst,Company_295,Healthcare,Bangalore,"Python, Data Analysis, Statistics",Mid,10-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-10-14,Medium,None
DevOps Engineer,Company_209,Education,Hyderabad,"Python, Data Analysis, Statistics",Fresher,6-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-26,Low,None
Data Analyst,Company_328,Telecom,Hyderabad,"Python, Data Analysis, Statistics",Junior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-22,Medium,Google Data Analytics Certificate
Data Analyst,Company_172,Automobile,Hyderabad,"Java, Spring, Microservices",Fresher,3-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-17,Medium,Google Data Analytics Certificate
Cloud Engineer,Company_324,Healthcare,Delhi,"Python, Data Analysis, Statistics",Junior,6-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-19,Medium,AWS Certified Solutions Architect
Data Analyst,Company_421,E-commerce,Mumbai,"Python, SQL, Machine Learning",Junior,6-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-04,Medium,Google Data Analytics Certificate
Business Analyst,Company_87,Healthcare,Chennai,"Linux, Networking, Security",Mid,4-19 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-11,Medium,None
Product Manager,Company_272,IT,Remote,"Python, Deep Learning, NLP",Junior,10-20 LPA,Responsible for developing and maintaining applications based on business needs.,2024-07-09,Medium,None
Frontend Developer,Company_351,Automobile,Kolkata,"Java, Spring, Microservices",Fresher,7-24 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-26,High,None
Product Manager,Company_344,Education,Chennai,"Java, Spring, Microservices",Junior,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-16,High,None
Data Scientist,Company_214,Telecom,Mumbai,"Java, Spring, Microservices",Mid,6-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-16,Medium,Certified Data Scientist
Frontend Developer,Company_480,Automobile,Kolkata,"Python, Deep Learning, NLP",Junior,7-21 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-30,Low,None
Product Manager,Company_324,Finance,Chennai,"Python, Data Analysis, Statistics",Junior,6-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-23,High,None
Cyber Security Analyst,Company_313,Manufacturing,Pune,"JavaScript, React, HTML, CSS",Mid,4-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-08,High,Cybersecurity Essentials
ML Engineer,Company_379,Manufacturing,Mumbai,"AWS, Docker, Kubernetes",Junior,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-09-01,Low,None
AI Engineer,Company_343,Finance,Hyderabad,"Python, Data Analysis, Statistics",Mid,8-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-05,Low,None
Data Scientist,Company_219,Manufacturing,Delhi,"JavaScript, React, HTML, CSS",Junior,3-15 LPA,Responsible for developing and maintaining applications based on business needs.,2024-01-22,High,Certified Data Scientist
Frontend Developer,Company_202,Healthcare,Kolkata,"Python, Deep Learning, NLP",Senior,3-11 LPA,Responsible for developing and maintaining applications based on business needs.,2024-06-20,Low,None
Product Manager,Company_156,Healthcare,Kolkata,"Java, Spring, Microservices",Mid,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-02-12,High,None
AI Engineer,Company_455,E-commerce,Remote,"Power BI, Excel, SQL",Mid,7-18 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-24,Medium,None
AI Engineer,Company_273,Manufacturing,Kolkata,"AWS, Docker, Kubernetes",Mid,10-23 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-26,Medium,None
Cyber Security Analyst,Company_383,Automobile,Mumbai,"Python, Deep Learning, NLP",Junior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-12-04,High,Cybersecurity Essentials
Cyber Security Analyst,Company_242,Healthcare,Pune,"Power BI, Excel, SQL",Senior,10-25 LPA,Responsible for developing and maintaining applications based on business needs.,2024-11-01,High,Cybersecurity Essentials
Cyber Security Analyst,Company_81,IT,Delhi,"Python, SQL, Machine Learning",Senior,8-16 LPA,Responsible for developing and maintaining applications based on business needs.,2024-03-02,Medium,Cybersecurity Essentials
Backend Developer,Company_23,Finance,Kolkata,"Linux, Networking, Security",Mid,3-22 LPA,Responsible for developing and maintaining applications based on business needs.,2024-08-31,High,None
Business Analyst,Company_154,Telecom,Delhi,"JavaScript, React, HTML, CSS",Senior,10-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-05-02,Low,None
DevOps Engineer,Company_294,Automobile,Pune,"AWS, Docker, Kubernetes",Mid,8-17 LPA,Responsible for developing and maintaining applications based on business needs.,2024-04-22,Medium,None
